2024-04-16 13:26:01 INFO     Learing Rate: 0.001
2024-04-16 13:26:31 INFO     Epoch: 940, Score: 7, Loss: 5.856130599975586, Train Reward: 15, Eval Reward: 9
2024-04-16 13:26:31 INFO     Epoch: 950, Score: 7, Loss: -3.258622646331787, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:31 INFO     Epoch: 960, Score: 10, Loss: -2.4502978324890137, Train Reward: 17, Eval Reward: 12
2024-04-16 13:26:32 INFO     Epoch: 970, Score: 13, Loss: 1.270722508430481, Train Reward: 7, Eval Reward: 15
2024-04-16 13:26:32 INFO     Epoch: 980, Score: 10, Loss: -0.8106516599655151, Train Reward: 7, Eval Reward: 12
2024-04-16 13:26:32 INFO     Epoch: 990, Score: 9, Loss: -1.6804786920547485, Train Reward: 10, Eval Reward: 11
2024-04-16 13:26:32 INFO     Epoch: 1000, Score: 8, Loss: -0.10369396209716797, Train Reward: 10, Eval Reward: 10
2024-04-16 13:26:33 INFO     Epoch: 1010, Score: 8, Loss: -2.528839588165283, Train Reward: 12, Eval Reward: 10
2024-04-16 13:26:33 INFO     Epoch: 1020, Score: 7, Loss: 5.072276592254639, Train Reward: 9, Eval Reward: 9
2024-04-16 13:26:33 INFO     Epoch: 1030, Score: 8, Loss: -2.115375518798828, Train Reward: 13, Eval Reward: 10
2024-04-16 13:26:34 INFO     Epoch: 1040, Score: 15, Loss: -4.128015518188477, Train Reward: 11, Eval Reward: 17
2024-04-16 13:26:34 INFO     Epoch: 1050, Score: 6, Loss: 4.426551818847656, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:34 INFO     Epoch: 1060, Score: 5, Loss: -3.9658002853393555, Train Reward: 13, Eval Reward: 7
2024-04-16 13:26:34 INFO     Epoch: 1070, Score: 11, Loss: 1.7105224132537842, Train Reward: 18, Eval Reward: 13
2024-04-16 13:26:35 INFO     Epoch: 1080, Score: 7, Loss: -3.168120861053467, Train Reward: 16, Eval Reward: 9
2024-04-16 13:26:35 INFO     Epoch: 1090, Score: 12, Loss: 3.7782888412475586, Train Reward: 9, Eval Reward: 14
2024-04-16 13:26:35 INFO     Epoch: 1100, Score: 9, Loss: -0.21329206228256226, Train Reward: 14, Eval Reward: 11
2024-04-16 13:26:36 INFO     Epoch: 1110, Score: 11, Loss: -4.354135036468506, Train Reward: 14, Eval Reward: 13
2024-04-16 13:26:36 INFO     Epoch: 1120, Score: 7, Loss: -1.017981767654419, Train Reward: 8, Eval Reward: 9
2024-04-16 13:26:36 INFO     Epoch: 1130, Score: 12, Loss: 1.9825701713562012, Train Reward: 12, Eval Reward: 14
2024-04-16 13:26:36 INFO     Epoch: 1140, Score: 10, Loss: 0.34222909808158875, Train Reward: 10, Eval Reward: 12
2024-04-16 13:26:37 INFO     Epoch: 1150, Score: 13, Loss: 0.6500413417816162, Train Reward: 12, Eval Reward: 15
2024-04-16 13:26:37 INFO     Epoch: 1160, Score: 7, Loss: -7.056952476501465, Train Reward: 12, Eval Reward: 9
2024-04-16 13:26:37 INFO     Epoch: 1170, Score: 6, Loss: -3.5869693756103516, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:38 INFO     Epoch: 1180, Score: 8, Loss: 2.0221071243286133, Train Reward: 18, Eval Reward: 10
2024-04-16 13:26:38 INFO     Epoch: 1190, Score: 7, Loss: -10.74191665649414, Train Reward: 11, Eval Reward: 9
2024-04-16 13:26:38 INFO     Epoch: 1200, Score: 8, Loss: -9.951751708984375, Train Reward: 10, Eval Reward: 10
2024-04-16 13:26:38 INFO     Epoch: 1210, Score: 13, Loss: 1.0441458225250244, Train Reward: 9, Eval Reward: 15
2024-04-16 13:26:39 INFO     Epoch: 1220, Score: 12, Loss: -3.1326816082000732, Train Reward: 13, Eval Reward: 14
2024-04-16 13:26:39 INFO     Epoch: 1230, Score: 9, Loss: -5.307734489440918, Train Reward: 13, Eval Reward: 11
2024-04-16 13:26:39 INFO     Epoch: 1240, Score: 10, Loss: 3.194021463394165, Train Reward: 13, Eval Reward: 12
2024-04-16 13:26:40 INFO     Epoch: 1250, Score: 12, Loss: -8.892032623291016, Train Reward: 12, Eval Reward: 14
2024-04-16 13:26:40 INFO     Epoch: 1260, Score: 10, Loss: -1.2704219818115234, Train Reward: 7, Eval Reward: 12
2024-04-16 13:26:40 INFO     Epoch: 1270, Score: 12, Loss: -3.9159047603607178, Train Reward: 9, Eval Reward: 14
2024-04-16 13:26:40 INFO     Epoch: 1280, Score: 10, Loss: -8.52989387512207, Train Reward: 11, Eval Reward: 12
2024-04-16 13:26:41 INFO     Epoch: 1290, Score: 10, Loss: 2.1456923484802246, Train Reward: 9, Eval Reward: 12
2024-04-16 13:26:41 INFO     Epoch: 1300, Score: 10, Loss: -9.210445404052734, Train Reward: 15, Eval Reward: 12
2024-04-16 13:26:41 INFO     Epoch: 1310, Score: 15, Loss: 0.16600491106510162, Train Reward: 13, Eval Reward: 17
2024-04-16 13:26:42 INFO     Epoch: 1320, Score: 6, Loss: -1.1565264463424683, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:42 INFO     Epoch: 1330, Score: 6, Loss: 6.428760528564453, Train Reward: 14, Eval Reward: 8
2024-04-16 13:26:42 INFO     Epoch: 1340, Score: 7, Loss: -1.9479308128356934, Train Reward: 10, Eval Reward: 9
2024-04-16 13:26:42 INFO     Epoch: 1350, Score: 6, Loss: 1.889554500579834, Train Reward: 15, Eval Reward: 8
2024-04-16 13:26:43 INFO     Epoch: 1360, Score: 13, Loss: -12.654766082763672, Train Reward: 11, Eval Reward: 15
2024-04-16 13:26:43 INFO     Epoch: 1370, Score: 9, Loss: 2.8180463314056396, Train Reward: 12, Eval Reward: 11
2024-04-16 13:26:43 INFO     Epoch: 1380, Score: 15, Loss: 0.5592288970947266, Train Reward: 11, Eval Reward: 17
2024-04-16 13:26:44 INFO     Epoch: 1390, Score: 8, Loss: 5.104942321777344, Train Reward: 18, Eval Reward: 10
2024-04-16 13:26:44 INFO     Epoch: 1400, Score: 13, Loss: 4.589227199554443, Train Reward: 11, Eval Reward: 15
2024-04-16 13:26:44 INFO     Epoch: 1410, Score: 8, Loss: -1.330234169960022, Train Reward: 12, Eval Reward: 10
2024-04-16 13:26:44 INFO     Epoch: 1420, Score: 10, Loss: -5.356733322143555, Train Reward: 9, Eval Reward: 12
2024-04-16 13:26:45 INFO     Epoch: 1430, Score: 10, Loss: 0.4448676109313965, Train Reward: 10, Eval Reward: 12
2024-04-16 13:26:45 INFO     Epoch: 1440, Score: 11, Loss: -4.090137481689453, Train Reward: 12, Eval Reward: 13
2024-04-16 13:26:45 INFO     Epoch: 1450, Score: 7, Loss: 1.21310293674469, Train Reward: 15, Eval Reward: 9
2024-04-16 13:26:45 INFO     Epoch: 1460, Score: 9, Loss: -1.511343240737915, Train Reward: 11, Eval Reward: 11
2024-04-16 13:26:46 INFO     Epoch: 1470, Score: 12, Loss: -1.7478505373001099, Train Reward: 12, Eval Reward: 14
2024-04-16 13:26:46 INFO     Epoch: 1480, Score: 8, Loss: -2.225027084350586, Train Reward: 15, Eval Reward: 10
2024-04-16 13:26:46 INFO     Epoch: 1490, Score: 15, Loss: 1.6771240234375, Train Reward: 10, Eval Reward: 17
2024-04-16 13:26:46 INFO     Epoch: 1500, Score: 6, Loss: -0.0033920411951839924, Train Reward: 15, Eval Reward: 8
2024-04-16 13:26:47 INFO     Epoch: 1510, Score: 13, Loss: -3.3929555416107178, Train Reward: 10, Eval Reward: 15
2024-04-16 13:26:47 INFO     Epoch: 1520, Score: 6, Loss: -0.8341431021690369, Train Reward: 14, Eval Reward: 8
2024-04-16 13:26:47 INFO     Epoch: 1530, Score: 9, Loss: -3.298372745513916, Train Reward: 14, Eval Reward: 11
2024-04-16 13:26:47 INFO     Epoch: 1540, Score: 10, Loss: 0.07242083549499512, Train Reward: 10, Eval Reward: 12
2024-04-16 13:26:48 INFO     Epoch: 1550, Score: 8, Loss: -1.6560200452804565, Train Reward: 24, Eval Reward: 10
2024-04-16 13:26:48 INFO     Epoch: 1560, Score: 10, Loss: -4.692356586456299, Train Reward: 13, Eval Reward: 12
2024-04-16 13:26:48 INFO     Epoch: 1570, Score: 7, Loss: -4.822563171386719, Train Reward: 15, Eval Reward: 9
2024-04-16 13:26:49 INFO     Epoch: 1580, Score: 8, Loss: -1.5798556804656982, Train Reward: 8, Eval Reward: 10
2024-04-16 13:26:49 INFO     Epoch: 1590, Score: 9, Loss: 0.3006129264831543, Train Reward: 14, Eval Reward: 11
2024-04-16 13:26:49 INFO     Epoch: 1600, Score: 6, Loss: -1.6973538398742676, Train Reward: 8, Eval Reward: 8
2024-04-16 13:26:49 INFO     Epoch: 1610, Score: 14, Loss: 1.299687385559082, Train Reward: 10, Eval Reward: 16
2024-04-16 13:26:50 INFO     Epoch: 1620, Score: 9, Loss: -5.147639274597168, Train Reward: 20, Eval Reward: 11
2024-04-16 13:26:50 INFO     Epoch: 1630, Score: 11, Loss: -2.123422384262085, Train Reward: 12, Eval Reward: 13
2024-04-16 13:26:50 INFO     Epoch: 1640, Score: 14, Loss: -0.9683761596679688, Train Reward: 12, Eval Reward: 16
