2024-04-16 13:25:51 INFO     Learing Rate: 0.001
2024-04-16 13:25:51 INFO     Seed: 234
2024-04-16 13:26:25 INFO     Epoch: 1160, Score: 8, Loss: 2.0951297283172607, Train Reward: 12, Eval Reward: 10
2024-04-16 13:26:26 INFO     Epoch: 1170, Score: 7, Loss: -3.085930347442627, Train Reward: 13, Eval Reward: 9
2024-04-16 13:26:26 INFO     Epoch: 1180, Score: 7, Loss: -6.807999134063721, Train Reward: 21, Eval Reward: 9
2024-04-16 13:26:26 INFO     Epoch: 1190, Score: 7, Loss: -5.537106513977051, Train Reward: 11, Eval Reward: 9
2024-04-16 13:26:26 INFO     Epoch: 1200, Score: 8, Loss: -5.407881259918213, Train Reward: 8, Eval Reward: 10
2024-04-16 13:26:27 INFO     Epoch: 1210, Score: 10, Loss: -10.97336196899414, Train Reward: 10, Eval Reward: 12
2024-04-16 13:26:27 INFO     Epoch: 1220, Score: 12, Loss: -3.40031099319458, Train Reward: 14, Eval Reward: 14
2024-04-16 13:26:27 INFO     Epoch: 1230, Score: 6, Loss: -2.935208320617676, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:27 INFO     Epoch: 1240, Score: 12, Loss: 1.1218345165252686, Train Reward: 11, Eval Reward: 14
2024-04-16 13:26:28 INFO     Epoch: 1250, Score: 11, Loss: -2.799945831298828, Train Reward: 12, Eval Reward: 13
2024-04-16 13:26:28 INFO     Epoch: 1260, Score: 9, Loss: -1.0432038307189941, Train Reward: 9, Eval Reward: 11
2024-04-16 13:26:28 INFO     Epoch: 1270, Score: 14, Loss: -5.76948881149292, Train Reward: 9, Eval Reward: 16
2024-04-16 13:26:28 INFO     Epoch: 1280, Score: 6, Loss: 0.08205139636993408, Train Reward: 10, Eval Reward: 8
2024-04-16 13:26:29 INFO     Epoch: 1290, Score: 8, Loss: -3.9662222862243652, Train Reward: 12, Eval Reward: 10
2024-04-16 13:26:29 INFO     Epoch: 1300, Score: 7, Loss: -10.410723686218262, Train Reward: 13, Eval Reward: 9
2024-04-16 13:26:29 INFO     Epoch: 1310, Score: 8, Loss: -0.7503961324691772, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:29 INFO     Epoch: 1320, Score: 8, Loss: -0.11984190344810486, Train Reward: 9, Eval Reward: 10
2024-04-16 13:26:30 INFO     Epoch: 1330, Score: 6, Loss: 0.40022337436676025, Train Reward: 15, Eval Reward: 8
2024-04-16 13:26:30 INFO     Epoch: 1340, Score: 8, Loss: -1.0208591222763062, Train Reward: 9, Eval Reward: 10
2024-04-16 13:26:30 INFO     Epoch: 1350, Score: 7, Loss: -2.859910726547241, Train Reward: 14, Eval Reward: 9
2024-04-16 13:26:30 INFO     Epoch: 1360, Score: 13, Loss: -6.637653350830078, Train Reward: 9, Eval Reward: 15
2024-04-16 13:26:31 INFO     Epoch: 1370, Score: 8, Loss: -6.8218159675598145, Train Reward: 14, Eval Reward: 10
2024-04-16 13:26:31 INFO     Epoch: 1380, Score: 8, Loss: -4.925303936004639, Train Reward: 11, Eval Reward: 10
2024-04-16 13:26:31 INFO     Epoch: 1390, Score: 8, Loss: -1.0908046960830688, Train Reward: 12, Eval Reward: 10
2024-04-16 13:26:31 INFO     Epoch: 1400, Score: 10, Loss: -1.4330815076828003, Train Reward: 14, Eval Reward: 12
2024-04-16 13:26:32 INFO     Epoch: 1410, Score: 10, Loss: -3.9380621910095215, Train Reward: 17, Eval Reward: 12
