2024-04-15 17:14:38 INFO     Epoch: 230, Loss: 178.00323486328125, Score: -177, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 231, Loss: 180.7433624267578, Score: -208, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 232, Loss: 139.05369567871094, Score: -204, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 233, Loss: 154.01260375976562, Score: -224, Tetrominoes: 26, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 234, Loss: 138.53280639648438, Score: -229, Tetrominoes: 16, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 235, Loss: 167.3246307373047, Score: -201, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 236, Loss: 132.51004028320312, Score: -219, Tetrominoes: 27, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 237, Loss: 164.1625213623047, Score: -169, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 238, Loss: 163.13209533691406, Score: -198, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 239, Loss: 167.29225158691406, Score: -170, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 240, Loss: 152.13186645507812, Score: -215, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 241, Loss: 154.38648986816406, Score: -245, Tetrominoes: 29, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 242, Loss: 145.12889099121094, Score: -184, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 243, Loss: 138.10552978515625, Score: -229, Tetrominoes: 24, Cleared lines: 0
2024-04-15 17:14:38 INFO     Epoch: 244, Loss: 186.2373504638672, Score: -173, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 245, Loss: 167.11093139648438, Score: -195, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 246, Loss: 139.87649536132812, Score: -181, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 247, Loss: 157.58766174316406, Score: -189, Tetrominoes: 20, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 248, Loss: 181.80780029296875, Score: -197, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 249, Loss: 164.1536102294922, Score: -187, Tetrominoes: 19, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 250, Loss: 163.21983337402344, Score: -181, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 251, Loss: 153.00149536132812, Score: -226, Tetrominoes: 20, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 252, Loss: 154.29367065429688, Score: -205, Tetrominoes: 19, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 253, Loss: 137.0321502685547, Score: -137, Tetrominoes: 14, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 254, Loss: 155.06356811523438, Score: -230, Tetrominoes: 19, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 255, Loss: 153.4361114501953, Score: -191, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 256, Loss: 170.33363342285156, Score: -230, Tetrominoes: 19, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 257, Loss: 160.25381469726562, Score: -236, Tetrominoes: 25, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 258, Loss: 176.08547973632812, Score: -175, Tetrominoes: 21, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 259, Loss: 169.4165802001953, Score: -205, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:39 INFO     Epoch: 260, Loss: 187.5955352783203, Score: -228, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 261, Loss: 177.33216857910156, Score: -171, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 262, Loss: 161.00392150878906, Score: -233, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 263, Loss: 186.34539794921875, Score: -201, Tetrominoes: 20, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 264, Loss: 218.01210021972656, Score: -203, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 265, Loss: 199.493408203125, Score: -214, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 266, Loss: 191.22222900390625, Score: -215, Tetrominoes: 25, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 267, Loss: 232.27334594726562, Score: -178, Tetrominoes: 15, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 268, Loss: 197.98086547851562, Score: -225, Tetrominoes: 25, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 269, Loss: 198.85745239257812, Score: -195, Tetrominoes: 26, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 270, Loss: 190.03599548339844, Score: -243, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 271, Loss: 224.0362548828125, Score: -214, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 272, Loss: 164.7241668701172, Score: -215, Tetrominoes: 14, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 273, Loss: 173.92095947265625, Score: -212, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 274, Loss: 170.48817443847656, Score: -216, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 275, Loss: 176.64089965820312, Score: -205, Tetrominoes: 20, Cleared lines: 0
2024-04-15 17:14:40 INFO     Epoch: 276, Loss: 147.79322814941406, Score: -164, Tetrominoes: 14, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 277, Loss: 167.21429443359375, Score: -208, Tetrominoes: 21, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 278, Loss: 143.94729614257812, Score: -179, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 279, Loss: 149.1715087890625, Score: -219, Tetrominoes: 28, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 280, Loss: 224.3708953857422, Score: -227, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 281, Loss: 187.2349853515625, Score: -209, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 282, Loss: 187.46438598632812, Score: -216, Tetrominoes: 24, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 283, Loss: 180.68699645996094, Score: -195, Tetrominoes: 9, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 284, Loss: 213.38446044921875, Score: -188, Tetrominoes: 19, Cleared lines: 1
2024-04-15 17:14:41 INFO     Epoch: 285, Loss: 213.48825073242188, Score: -221, Tetrominoes: 20, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 286, Loss: 168.8986358642578, Score: -184, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 287, Loss: 172.57510375976562, Score: -222, Tetrominoes: 26, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 288, Loss: 189.68443298339844, Score: -229, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 289, Loss: 161.34234619140625, Score: -236, Tetrominoes: 23, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 290, Loss: 178.9753875732422, Score: -203, Tetrominoes: 22, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 291, Loss: 154.840576171875, Score: -201, Tetrominoes: 20, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 292, Loss: 172.65118408203125, Score: -223, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:41 INFO     Epoch: 293, Loss: 146.64077758789062, Score: -231, Tetrominoes: 24, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 294, Loss: 116.63742065429688, Score: -193, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 295, Loss: 175.9747772216797, Score: -174, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 296, Loss: 165.67062377929688, Score: -182, Tetrominoes: 13, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 297, Loss: 178.2806396484375, Score: -200, Tetrominoes: 16, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 298, Loss: 169.4957733154297, Score: -163, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 299, Loss: 170.25100708007812, Score: -168, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 300, Loss: 195.23904418945312, Score: -207, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 301, Loss: 216.74766540527344, Score: -190, Tetrominoes: 19, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 302, Loss: 207.25811767578125, Score: -206, Tetrominoes: 16, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 303, Loss: 169.50282287597656, Score: -213, Tetrominoes: 24, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 304, Loss: 251.17764282226562, Score: -166, Tetrominoes: 15, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 305, Loss: 215.747314453125, Score: -177, Tetrominoes: 18, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 306, Loss: 266.90484619140625, Score: -206, Tetrominoes: 17, Cleared lines: 0
2024-04-15 17:14:42 INFO     Epoch: 307, Loss: 235.73863220214844, Score: -201, Tetrominoes: 22, Cleared lines: 0
